name_clean,orbital_period,semi_major_axis,DL,star_mass,mass,method,M_lens,pi_rel,theta_E,te,thetas,s,q,u0,rho,piEE,piEN,r_s,a_s,v_para,v_perp,v_radial,DS,t0,W149,u,g,r,i,z,Y,alpha
gj357b,3.93086,0.033,9.444,0.342,0.006566,Transit,0.34200626786574023,0.10575278259152927,17.16239545363618,88.97217640906443,0.00013214296621344687,0.20360107033441183,1.8327092807726862e-05,4.7079644649425605,7.699564234516567e-06,-4.0960545852356996e-11,9.366118106596191e-12,9.823131070553945,1,1389.153940998331,-4922.436351029459,-35.014599565776685,7432.0,2461638.763828608,23.7928,29.515,26.616,25.302,24.447,24.027,23.833,3.141592653589793
toi1670b,10.98462,0.103,165.72,1.21,0.0434,Transit,1.2100414293897543,0.005330544912414265,7.247711434453015,49.96069921315264,0.0011325455402609198,0.08575538605253555,3.4239165086172484e-05,11.575319749069344,0.00015626250444757023,4.9035403106845875e-12,3.4674552201418353e-12,23.32215027024376,1,1197.4083559329522,3332.6358199533574,4686.732636720892,1421.0,2461638.763828608,21.2978,27.955,24.929,23.595,22.3,21.66,21.38,3.141592653589793
elias227b,5710000.0,500.0,115.0,0.5,11.0,Imaging,0.5105005365736625,0.008563986604459456,5.966931626632369,22.82916901175504,0.00020259185172129854,728.6535792618689,0.021001073147325147,-728.6522068675948,3.3952433913783223e-05,-6.184879368435009e-12,6.014689554481048e-12,0.00274478854825089,1,0.0002727635731635227,-5.334164086172986e-05,-0.00025560805299226747,7595.0,2461638.763828608,23.3418,30.732,27.489,26.094,24.545,23.79,23.457,3.141592653589793
xo2sb,18.22,0.1347,149.0,0.98,0.26,Radial Velocity,0.9802481945008319,0.006391716301343998,7.143182418758879,41.953350111983674,0.0004896468983049312,0.12655799511202426,0.0002532596947265556,7.774957820738556,6.854744420624875e-05,5.7569142571275516e-12,4.261478267461873e-12,15.80303163170116,1,678.3994859016811,-1940.7330519800198,-1042.9479317071123,3128.0,2461638.763828608,24.5328,32.061,28.78,27.377,25.779,25.001,24.656,3.141592653589793
k255b,2.849258,0.03486,160.26,0.7,0.138,Transit,0.7001317340042877,0.0035943575816282675,4.527052092206902,4.606307057496793,0.004463319254066934,0.04804926541318936,0.0001881914346968098,20.763923433871895,0.000985921779373893,-4.116492346811691e-12,2.2539745421479563e-12,41.62394539857017,1,-16305.496716556121,-11491.742494505825,-17321.10050247345,378.0,2461638.763828608,23.8738,28.953,26.407,25.209,24.452,24.073,23.887,3.141592653589793
kepler289c,125.8518,0.51,700.0,1.08,0.42,Transit,1.0804009295782673,0.00129064039408867,3.3698461341249972,19.47633034998059,0.0006596472338323946,0.21620317354952673,0.0003712310909880708,4.409075834073019,0.00019574995640080653,-2.5346219783508742e-12,1.4835728015868942e-12,9.250558015245092,1,123.83369764326666,-159.82688535581488,-169.25081988833728,7250.0,2461638.763828608,20.7318,22.17,20.917,20.505,20.405,20.397,20.391,3.141592653589793
kepler539b,125.63243,0.4988,310.01,1.05,0.97,Transit,1.05092595640695,0.002930194122465202,5.0078259474013525,33.28264676319234,0.0002908837080825427,0.3212931863790777,0.0008818632447145191,2.7911288704651347,5.808582629224311e-05,-3.9035494387170775e-12,3.811047439720545e-12,6.224844113688425,1,67.91394035046397,-23.769098164024637,-109.77494527488324,3384.0,2461638.763828608,21.9958,27.759,24.834,23.515,22.655,22.232,22.039,3.141592653589793
hatp32b,2.15000825,0.03427,320.0,1.176,0.75,Transit,1.176715945675477,0.002586206896551724,4.978315567323322,36.12653439822069,0.0007781651557306913,0.0215120452996074,0.0006087973430926817,46.46407247595697,0.00015631093393082861,3.1661665384132337e-12,3.2395581706731282e-12,92.97116904251315,1,24534.85250533097,95777.29209272323,-66308.53354861068,1856.0,2461638.763828608,23.9278,28.973,26.389,25.154,24.458,24.109,23.934,3.141592653589793
hd11506b,1613.7,2.8,51.261,1.24,4.88,Radial Velocity,1.2446584198617703,0.018788583576867655,13.800254051701065,10.157394023105612,0.0008320222721112034,3.958073691962585,0.003756790211105085,-3.705425540911068,6.029035907557409e-05,-7.856339304852985e-12,2.3058818003601302e-12,0.5052963021030346,1,-1.5399472631830857,0.9191295964949142,0.6214172266730135,1390.0,2461638.763828608,25.0058,31.348,28.396,27.086,25.905,25.324,25.071,3.141592653589793
11umib,516.22,1.54,119.5,1.8,11.0873,Radial Velocity,1.810583872650288,0.007879919586820083,10.779166665442771,28.139844191282013,0.002159333884824003,1.1955496828913328,0.005879929250160054,-0.3591143474884685,0.0002003247516105926,-3.4574604751198244e-12,3.732862845411576e-12,1.6728706708057286,1,4.353779705642497,3.416007307632754,-2.4661411764198777,2048.0,2461638.763828608,19.7568,20.915,19.833,19.482,19.397,19.396,19.397,3.141592653589793
