time,A_true,A_observed_blended,flux_unblended,flux_blended,mag_unblended,mag_blended,mag_observed,mag_sigma,mag_baseline_blended
-37.89473684210527,1.0706059838237776,1.018164364239927,17.4433408196443,64.48210397401819,24.395925833975,22.97640200115417,22.97640200115417,0.0,22.995946732797492
-37.493734335839605,1.0727684356287384,1.0187206848250863,17.47857356111027,64.51733671548416,24.3937350333468,22.97580892162221,22.97580892162221,0.0,22.995946732797492
-37.092731829573935,1.0750107961908686,1.0192975630413779,17.515108252786536,64.55387140716043,24.39146793541146,22.975194268065948,22.975194268065948,0.0,22.995946732797492
-36.69172932330827,1.0773365225747886,1.0198958882664093,17.5530012204898,64.59176437486369,24.389121542430974,22.974557130498383,22.974557130498383,0.0,22.995946732797492
-36.29072681704261,1.079749244581735,1.0205165943166676,17.592311604427604,64.63107475880149,24.386692727807777,22.973896555190382,22.973896555190382,0.0,22.995946732797492
-35.88972431077694,1.082252774698219,1.0211606620069493,17.63310152129142,64.6718646756653,24.384178230154347,22.973211542286716,22.973211542286716,0.0,22.995946732797492
-35.48872180451128,1.0848511187081877,1.0218291218804851,17.675436237160174,64.71419939153407,24.38157464707327,22.972501043274193,22.972501043274193,0.0,22.995946732797492
-35.08771929824562,1.0875484870201308,1.0225230571229944,17.71938435205234,64.75814750642623,24.378878428632472,22.971763958291255,22.971763958291255,0.0,22.995946732797492
-34.686716791979954,1.0903493067652235,1.0232436066751007,17.765017997040527,64.80378115141441,24.37608587051946,22.97099913326772,22.97099913326772,0.0,22.995946732797492
-34.28571428571429,1.0932582347276862,1.0239919685588437,17.81241304492528,64.85117619929918,24.373193106857315,22.970205356882175,22.970205356882175,0.0,22.995946732797492
-33.88471177944862,1.0962801711741859,1.0247694034354844,17.861649335556994,64.90041248993089,24.370196102664185,22.969381357323748,22.969381357323748,0.0,22.995946732797492
-33.48370927318296,1.099420274655331,1.025577238413394,17.912810916996072,64.95157407136996,24.367090645936763,22.96852579884357,22.96852579884357,0.0,22.995946732797492
-33.0827067669173,1.1026839778592148,1.0264168711265975,17.965986303814084,65.00474945818797,24.363872339337036,22.967637278080215,22.967637278080215,0.0,22.995946732797492
-32.68170426065163,1.1060770046046007,1.0272897741065041,18.021268753963064,65.06003190833695,24.360536591460082,22.966714320141897,22.966714320141897,0.0,22.995946732797492
-32.280701754385966,1.1096053880698293,1.0281974994715455,18.07875656577835,65.11751972015225,24.35707860765931,22.96575537442665,22.96575537442665,0.0,22.995946732797492
-31.879699248120303,1.113275490362947,1.0291416839618623,18.138553396833935,65.17731655120782,24.353493380403744,22.96475881016021,22.96475881016021,0.0,22.995946732797492
-31.47869674185464,1.1170940235490365,1.0301240543488752,18.200768606539924,65.23953176091382,24.34977567914022,22.96372291162926,22.96372291162926,0.0,22.995946732797492
-31.07769423558898,1.121068072262405,1.031146433252581,18.265517624562005,65.30428077893589,24.345920039631306,22.96264587308586,22.96264587308586,0.0,22.995946732797492
